UniProt ID,Protein Name
A8MXD5,Glutaredoxin domain-containing cysteine-rich protein 1
B1AQ61,Ubiquitination factor E4B
O00165,HCLS1-associated protein X-1
O00213,Amyloid beta precursor protein binding family B member 1
O00233,26S proteasome non-ATPase regulatory subunit 9
O00255-2,Isoform 1 of Menin
O00308,NEDD4-like E3 ubiquitin-protein ligase WWP2
O00401,Actin nucleation-promoting factor WASL
O00429,Dynamin-1-like protein
O00499,Myc box-dependent-interacting protein 1
O00522,Krev interaction trapped protein 1
O00625,Pirin
O00629,Importin subunit alpha-3
O14593,DNA-binding protein RFXANK
O14640,Segment polarity protein dishevelled homolog DVL-1
O14649,Potassium channel subfamily K member 3
O14730,Serine/threonine-protein kinase RIO3
O14744,Protein arginine N-methyltransferase 5
O14745,Na(+)/H(+) exchange regulatory cofactor NHE-RF1
O14757,Serine/threonine-protein kinase Chk1
O14788,Tumor necrosis factor ligand superfamily member 11
O14793,Growth/differentiation factor 8
O14818,Proteasome subunit alpha type-7
O14836,Tumor necrosis factor receptor superfamily member 13B
O14879,Interferon-induced protein with tetratricopeptide repeats 3
O14893,Gem-associated protein 2
O14936,Peripheral plasma membrane protein CASK
O14939,Phospholipase D2
O14965,Aurora kinase A
O15037,Protein KHNYN
O15151,Protein Mdm4
O15169,Axin-1
O15245,Solute carrier family 22 member 1
O15304-1,Isoform 1 of Apoptosis regulatory protein Siva
O15350,Tumor protein p73
O15379,Histone deacetylase 3
O15392,Baculoviral IAP repeat-containing protein 5
O15530,3-phosphoinositide-dependent protein kinase 1
O15553,Pyrin
O43318,Mitogen-activated protein kinase kinase kinase 7
O43353,Receptor-interacting serine/threonine-protein kinase 2
O43399-2,Isoform 2 of Tumor protein D54
O43447,Peptidyl-prolyl cis-trans isomerase H
O43464,"Serine protease HTRA2, mitochondrial"
O43524,Forkhead box protein O3
O43543,DNA repair protein XRCC2
O43586,Proline-serine-threonine phosphatase-interacting protein 1
O43660,Pleiotropic regulator 1
O43679,LIM domain-binding protein 2
O43684,Mitotic checkpoint protein BUB3
O43747,AP-1 complex subunit gamma-1
O43809,Cleavage and polyadenylation specificity factor subunit 5
O43918,Autoimmune regulator
O43924,"Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit delta"
O60216,Double-strand-break repair protein rad21 homolog
O60220,Mitochondrial import inner membrane translocase subunit Tim8 A
O60238,BCL2/adenovirus E1B 19 kDa protein-interacting protein 3-like
O60260,E3 ubiquitin-protein ligase parkin
O60282,Kinesin heavy chain isoform 5C
O60341,Lysine-specific histone demethylase 1A
O60447,Ecotropic viral integration site 5 protein homolog
O60516,Eukaryotic translation initiation factor 4E-binding protein 3
O60565,Gremlin-1
O60573-1,Isoform 1 of Eukaryotic translation initiation factor 4E type 2
O60880,SH2 domain-containing protein 1A
O60934,Nibrin
O75113,NEDD4-binding protein 1
O75143,Autophagy-related protein 13
O75154,Rab11 family-interacting protein 3
O75323,Protein NipSnap homolog 2
O75340,Programmed cell death protein 6
O75460,Serine/threonine-protein kinase/endoribonuclease IRE1
O75530,Polycomb protein EED
O75531,Barrier-to-autointegration factor
O75817,Ribonuclease P protein subunit p20
O75832,26S proteasome non-ATPase regulatory subunit 10
O75925,E3 SUMO-protein ligase PIAS1
O75955,Flotillin-1
O76080,AN1-type zinc finger protein 5
O76081,Regulator of G-protein signaling 20
O76090,Bestrophin-1
O94782,Ubiquitin carboxyl-terminal hydrolase 1
O94829,Importin-13
O94901,SUN domain-containing protein 1
O94906,Pre-mRNA-processing factor 6
O95166,Gamma-aminobutyric acid receptor-associated protein
O95210,Starch-binding domain-containing protein 1
O95251,Histone acetyltransferase KAT7
O95295,SNARE-associated protein Snapin
O95352,Ubiquitin-like modifier-activating enzyme ATG7
O95376,E3 ubiquitin-protein ligase ARIH2
O95400,CD2 antigen cytoplasmic tail-binding protein 2
O95453,Poly(A)-specific ribonuclease PARN
O95503,Chromobox protein homolog 6
O95563,Mitochondrial pyruvate carrier 2
O95630,STAM-binding protein
O95760-1,Isoform 1 of Interleukin-33
O95801,Tetratricopeptide repeat protein 4
O95931,Chromobox protein homolog 7
O95985,DNA topoisomerase 3-beta-1
O96017,Serine/threonine-protein kinase Chk2
O96019,Actin-like protein 6A
P00338,L-lactate dehydrogenase A chain
P00441,Superoxide dismutase [Cu-Zn]
P00558-1,Isoform 1 of Phosphoglycerate kinase 1
P01106,Myc proto-oncogene protein
P01112,GTPase HRas
P01116,GTPase KRas
P01130,Low-density lipoprotein receptor
P02489,Alpha-crystallin A chain
P02545-1,Isoform A of Prelamin-A/C
P02649,Apolipoprotein E
P02675,Fibrinogen beta chain
P02771,Alpha-fetoprotein
P02786,Transferrin receptor protein 1
P02794,Ferritin heavy chain
P03372,Estrogen receptor
P04040,Catalase
P04049,RAF proto-oncogene serine/threonine-protein kinase
P04150,Glucocorticoid receptor
P04198,N-myc proto-oncogene protein
P04637,Cellular tumor antigen p53
P04637-4,Isoform 4 of Cellular tumor antigen p53
P04637-7,Isoform 7 of Cellular tumor antigen p53
P04792,Heat shock protein beta-1
P05067,Amyloid-beta precursor protein
P05067-4,Isoform APP695 of Amyloid-beta precursor protein
P05067-PRO_0000000092,
P05106,Integrin beta-3
P05198,Eukaryotic translation initiation factor 2 subunit 1
P05386,Large ribosomal subunit protein P1
P05412,Transcription factor Jun
P05556,Integrin beta-1
P06239,Tyrosine-protein kinase Lck
P06241,Tyrosine-protein kinase Fyn
P06400,Retinoblastoma-associated protein
P06730,Eukaryotic translation initiation factor 4E
P06748,Nucleophosmin
P07900,Heat shock protein HSP 90-alpha
P07948,Tyrosine-protein kinase Lyn
P08047,Transcription factor Sp1
P08172,Muscarinic acetylcholine receptor M2
P08238,Heat shock protein HSP 90-beta
P08588,Beta-1 adrenergic receptor
P08621,U1 small nuclear ribonucleoprotein 70 kDa
P08631,Tyrosine-protein kinase HCK
P08670,Vimentin
P08865,Small ribosomal subunit protein uS2
P09234,U1 small nuclear ribonucleoprotein C
P09327,Villin-1
P09467,"Fructose-1,6-bisphosphatase 1"
P09496,Clathrin light chain A
P09651-2,Isoform A1-A of Heterogeneous nuclear ribonucleoprotein A1
P09769,Tyrosine-protein kinase Fgr
P0C7U0,Protein ELFN1
P0CG47,Polyubiquitin-B
P0CG48,Polyubiquitin-C
P0DP23,Calmodulin-1
P10242,Transcriptional activator Myb
P10275,Androgen receptor
P10276,Retinoic acid receptor alpha
P10398,Serine/threonine-protein kinase A-Raf
P10412,Histone H1.4
P10415,Apoptosis regulator Bcl-2
P10636-2,Isoform Fetal-tau of Microtubule-associated protein tau
P10644,cAMP-dependent protein kinase type I-alpha regulatory subunit
P10828,Thyroid hormone receptor beta
P11021,Endoplasmic reticulum chaperone BiP
P11142-1,Isoform 1 of Heat shock cognate 71 kDa protein
P11233,Ras-related protein Ral-A
P11362,Fibroblast growth factor receptor 1
P11362-7,Isoform 14 of Fibroblast growth factor receptor 1
P11387,DNA topoisomerase 1
P11831,Serum response factor
P11940,Polyadenylate-binding protein 1
P12004,Proliferating cell nuclear antigen
P12314,High affinity immunoglobulin gamma Fc receptor I
P12694-1,"Isoform 1 of 2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial"
P12931,Proto-oncogene tyrosine-protein kinase Src
P12956,X-ray repair cross-complementing protein 6
P13010,X-ray repair cross-complementing protein 5
P13498,Cytochrome b-245 light chain
P13667,Protein disulfide-isomerase A4
P13725,Oncostatin-M
P13984,General transcription factor IIF subunit 2
P14174,Macrophage migration inhibitory factor
P14598,Neutrophil cytosol factor 1
P14635,G2/mitotic-specific cyclin-B1
P14678,Small nuclear ribonucleoprotein-associated proteins B and B'
P14921,Protein C-ets-1
P15018,Leukemia inhibitory factor
P15036,Protein C-ets-2
P15153,Ras-related C3 botulinum toxin substrate 2
P15173,Myogenin
P15311,Ezrin
P15336,Cyclic AMP-dependent transcription factor ATF-2
P15382,Potassium voltage-gated channel subfamily E member 1
P15559,NAD(P)H dehydrogenase [quinone] 1
P15863,Paired box protein Pax-1
P15941-PRO_0000317447,
P16333,SH2/SH3 adapter protein NCK1
P17036,Zinc finger protein 3
P17096,High mobility group protein HMG-I/HMG-Y
P17302,Gap junction alpha-1 protein
P17480,Nucleolar transcription factor 1
P17535,Transcription factor JunD
P17612,cAMP-dependent protein kinase catalytic subunit alpha
P17676,CCAAT/enhancer-binding protein beta
P17844,Probable ATP-dependent RNA helicase DDX5
P17861-1,Isoform 1 of X-box-binding protein 1
P17947,Transcription factor PU.1
P17948-2,Isoform 2 of Vascular endothelial growth factor receptor 1
P18084,Integrin beta-5
P18089,Alpha-2B adrenergic receptor
P18433,Receptor-type tyrosine-protein phosphatase alpha
P18847,Cyclic AMP-dependent transcription factor ATF-3
P18848,Cyclic AMP-dependent transcription factor ATF-4
P18887,DNA repair protein XRCC1
P19338,Nucleolin
P19438,Tumor necrosis factor receptor superfamily member 1A
P19525,"Interferon-induced, double-stranded RNA-activated protein kinase"
P19634,Sodium/hydrogen exchanger 1
P19838,Nuclear factor NF-kappa-B p105 subunit
P19838-PRO_0000030311,
P19878,Neutrophil cytosol factor 2
P20226,TATA-box-binding protein
P20248,Cyclin-A2
P20265,"POU domain, class 3, transcription factor 2"
P20333,Tumor necrosis factor receptor superfamily member 1B
P20339,Ras-related protein Rab-5A
P20340-1,Isoform 1 of Ras-related protein Rab-6A
P20700,Lamin-B1
P20963,T-cell surface glycoprotein CD3 zeta chain
P21796,Non-selective voltage-gated ion channel VDAC1
P22087,rRNA 2'-O-methyltransferase fibrillarin
P22303,Acetylcholinesterase
P22392,Nucleoside diphosphate kinase B
P22626,Heterogeneous nuclear ribonucleoproteins A2/B1
P22681,E3 ubiquitin-protein ligase CBL
P22736-1,Isoform 1 of Nuclear receptor subfamily 4immunitygroup A member 1
P23193,Transcription elongation factor A protein 1
P23396,Small ribosomal subunit protein uS3
P23760,Paired box protein Pax-3
P23769,Endothelial transcription factor GATA-2
P23771,Trans-acting T-cell-specific transcription factor GATA-3
P24385,G1/S-specific cyclin-D1
P24522,Growth arrest and DNA damage-inducible protein GADD45 alpha
P24863,Cyclin-C
P24864,G1/S-specific cyclin-E1
P24941,Cyclin-dependent kinase 2
P25490,Transcriptional repressor protein YY1
P25963,NF-kappa-B inhibitor alpha
P26010,Integrin beta-7
P26368,Splicing factor U2AF 65 kDa subunit
P26447,Protein S100-A4
P27694,Replication protein A 70 kDa DNA-binding subunit
P28347,Transcriptional enhancer factor TEF-1
P29034,Protein S100-A2
P29083,General transcription factor IIE subunit 1
P29274,Adenosine receptor A2a
P29350,Tyrosine-protein phosphatase non-receptor type 6
P29466,Caspase-1
P29590,Protein PML
P30153,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform
P30203,T-cell differentiation antigen CD6
P30281,G1/S-specific cyclin-D3
P30305,M-phase inducer phosphatase 2
P30307,M-phase inducer phosphatase 3
P30533,Alpha-2-macroglobulin receptor-associated protein
P31274,Homeobox protein Hox-C9
P31431,Syndecan-4
P31946,14-3-3 protein beta/alpha
P31947,14-3-3 protein sigma
P32121,Beta-arrestin-2
P33151,Cadherin-5
P33981-1,Isoform 1 of Dual specificity protein kinase TTK
P33991,DNA replication licensing factor MCM4
P33993,DNA replication licensing factor MCM7
P34969,5-hydroxytryptamine receptor 7
P35070,Probetacellulin
P35125-3,Isoform 3 of Ubiquitin carboxyl-terminal hydrolase 6
P35222,Catenin beta-1
P35226,Polycomb complex protein BMI-1
P35227,Polycomb group RING finger protein 2
P35240,Merlin
P35241,Radixin
P35609,Alpha-actinin-2
P35813,Protein phosphatase 1A
P36402,Transcription factor 7
P36404,ADP-ribosylation factor-like protein 2
P36507,Dual specificity mitogen-activated protein kinase kinase 2
P36952,Serpin B5
P36956-PRO_0000314029,
P37198,Nuclear pore glycoprotein p62
P37231,Peroxisome proliferator-activated receptor gamma
P37840,Alpha-synuclein
P38432,Coilin
P38646,"Stress-70 protein, mitochondrial"
P38919,Eukaryotic initiation factor 4A-III
P38936,Cyclin-dependent kinase inhibitor 1
P39748,Flap endonuclease 1
P40189,Interleukin-6 receptor subunit beta
P40337,von Hippel-Lindau disease tumor suppressor
P40939,"Trifunctional enzyme subunit alpha, mitochondrial"
P41145,Kappa-type opioid receptor
P41227,N-alpha-acetyltransferase 10
P41235,Hepatocyte nuclear factor 4-alpha
P41240,Tyrosine-protein kinase CSK
P42166,"Lamina-associated polypeptide 2, isoform alpha"
P42566,Epidermal growth factor receptor substrate 15
P42574,Caspase-3
P42685,Tyrosine-protein kinase FRK
P42768,Actin nucleation-promoting factor WAS
P42771,Cyclin-dependent kinase inhibitor 2A
P43356,Melanoma-associated antigen 2
P45973,Chromobox protein homolog 5
P45983,Mitogen-activated protein kinase 8
P45985,Dual specificity mitogen-activated protein kinase kinase 4
P46060,Ran GTPase-activating protein 1
P46092,C-C chemokine receptor type 10
P46109,Crk-like protein
P46459,Vesicle-fusing ATPase
P46527,Cyclin-dependent kinase inhibitor 1B
P46937,Transcriptional coactivator YAP1
P48047,"ATP synthase peripheral stalk subunit OSCP, mitochondrial"
P48382,DNA-binding protein RFX5
P48729,Casein kinase I isoform alpha
P49005,DNA polymerase delta subunit 2
P49407,Beta-arrestin-1
P49418,Amphiphysin
P49427,Ubiquitin-conjugating enzyme E2 R1
P49736,DNA replication licensing factor MCM2
P49768,Presenilin-1
P49789,Bis(5'-adenosyl)-triphosphatase
P49810,Presenilin-2
P49841,Glycogen synthase kinase-3 beta
P49959,Double-strand break repair protein MRE11
P50053-2,Isoform A of Ketohexokinase
P50281,Matrix metalloproteinase-14
P50406,5-hydroxytryptamine receptor 6
P50552,Vasodilator-stimulated phosphoprotein
P50553,Achaete-scute homolog 1
